
Vgs               IS("/T0/D") (A)

W = 160n              
Vds               0                 500m              1                 1.5               2                 
    1.48            -83.3939p          18.3344m          21.2721m          22.4165m          23.0589m       
    1.52            -95.2708p          18.9246m          22.1209m          23.3139m          23.9779m       
    1.56           -108.679p           19.4899m          22.9646m          24.2074m          24.8939m       
    1.6            -123.8p             20.0308m          23.8027m          25.0969m          25.8065m       
    1.64           -140.838p           20.5484m          24.6349m          25.982m           26.7155m       
    1.68           -160.018p           21.0436m          25.4609m          26.8624m          27.6206m       
    1.72           -181.59p            21.5174m          26.2803m          27.7379m          28.5215m       
    1.76           -205.833p           21.9708m          27.0928m          28.6083m          29.4181m       
    1.8            -233.055p           22.4045m          27.8982m          29.4734m          30.3102m       
    1.84           -263.6p             22.8195m          28.696m           30.3329m          31.1977m       
    1.88           -297.847p           23.2164m          29.486m           31.1867m          32.0802m       
    1.92           -336.217p           23.5958m          30.268m           32.0346m          32.9578m       
    1.96           -379.177p           23.9586m          31.0415m          32.8765m          33.8302m       
    2              -427.245p           24.3052m          31.8063m          33.7123m          34.6974m       

Vgs               IS("/T0/D") (A)
W = 7.589m            
Vds               0                 500m              1                 1.5               2                 
    0               163.07z           774.281n            1.29338u          1.95273u          3.03143u      
   40m              -73.7015f           3.12516u          5.19284u          7.79506u         11.2039u       
   80m             -543.006f           11.9559u          19.733u           29.417u           41.4581u       
  120m               -2.32552p         42.8307u          70.1391u         103.737u          144.718u        
  160m               -8.6727p         142.862u          232.028u          340.395u          470.867u        
  200m              -19.0796p         445.094u          716.927u            1.04346m          1.4322m       
  240m              -33.1774p           1.30823m          2.08764m          3.01269m          4.10148m      
  280m              -51.2029p           3.66792m          5.77193m          8.22942m         11.0776m       
  320m              -73.6479p           9.84983m         15.1085m          21.0871m          27.84m         
  360m             -101.525p           24.949m           36.622m           49.3151m          63.0859m       
  400m             -136.566p           57.1154m          79.0828m         101.601m          124.849m        
  440m             -180.848p          113.297m          148.154m          181.729m          214.757m        
  480m             -236.228p          194.221m          242.771m          286.893m          328.47m         
  520m             -304.377p          295.894m          358.089m          411.707m          460.332m        
  560m             -387.099p          413.565m          489.253m          551.446m          605.892m        
  600m             -486.499p          543.441m          632.597m          702.713m          762.093m        
  640m             -605.036p          682.766m          785.522m          863.138m          926.834m        
  680m             -745.543p          829.528m          946.144m            1.03101           1.09859       
  720m             -911.257p          982.197m            1.11304           1.20501           1.27619       
  760m               -1.10585n          1.13956           1.28508           1.38411           1.45868       
  800m               -1.33348n          1.30063           1.46135           1.56745           1.6453        
  840m               -1.59884n          1.46457           1.6411            1.75431           1.83536       
  880m               -1.90722n          1.63065           1.82368           1.9441            2.02832       
  920m               -2.26458n          1.79825           2.00854           2.13629           2.22367       
  960m               -2.67763n          1.96679           2.19522           2.33043           2.42101       
    1                -3.1539n           2.13574           2.38332           2.52614           2.61995       
    1.04             -3.70184n          2.30463           2.57248           2.72307           2.82019       
    1.08             -4.33095n          2.47295           2.76239           2.92094           3.02143       
    1.12             -5.05187n          2.64025           2.95278           3.11949           3.22343       
    1.16             -5.87652n          2.80603           3.14342           3.31847           3.42598       
    1.2              -6.81824n          2.96978           3.33409           3.51771           3.62887       
    1.24             -7.89195n          3.13096           3.52461           3.71701           3.83195       
    1.28             -9.11433n          3.289             3.7148            3.91621           4.03505       
    1.32            -10.504n            3.44332           3.90453           4.11519           4.23805       
    1.36            -12.0818n           3.59334           4.09364           4.3138            4.44081       
    1.4             -13.871n            3.73856           4.28203           4.51193           4.64324       
    1.44            -15.8974n           3.87859           4.46956           4.70949           4.84523       
    1.48            -18.1898n           4.01318           4.65616           4.90638           5.0467        
    1.52            -20.7804n           4.14226           4.84171           5.10252           5.24756       
    1.56            -23.705n            4.26588           5.02612           5.29782           5.44775       
    1.6             -27.0034n           4.38421           5.20933           5.49223           5.6472        
    1.64            -30.7197n           4.49744           5.39124           5.68568           5.84585       
    1.68            -34.9033n           4.60579           5.57179           5.8781            6.04365       
    1.72            -39.6088n           4.70948           5.7509            6.06946           6.24055       
    1.76            -44.8968n           4.80871           5.92851           6.25969           6.4365        
    1.8             -50.8347n           4.90365           6.10455           6.44876           6.63147       
